3391,1089,1246,3379
3929,1843,683,342
3257,2655,216,1204
4783,3821,2005,3643
4261,738,1141,1136
269,136,36,169
577,175,38,256
1747,806,26,695
4159,1502,1217,502
3251,2268,2925,2570
577,396,70,418
4217,1890,4170,2551
743,396,98,685
4889,1200,2744,4142
3089,746,2475,2930
701,404,400,380
2081,1851,1136,551
1559,1368,895,1439
4481,1525,1563,2970
2273,1733,1260,2125
3527,437,981,3371
2963,1265,351,933
827,799,322,315
661,12,406,320
1933,1156,1406,1580
389,204,174,301
4019,1844,45,2282
2939,1396,1678,970
4447,701,1251,3177
2579,276,2546,290
4441,3927,15,3010
2069,1911,1653,275
499,47,405,255
487,224,236,460
233,129,31,218
4517,4125,4021,2721
1327,443,529,518
2237,214,418,47
919,546,807,607
4451,3277,529,3028
1097,1006,61,414
4297,3021,3104,1362
2273,431,2159,996
2357,1651,1643,1480
467,454,69,437
3853,3741,2929,3327
139,49,116,89
4813,3644,1086,239
4231,247,2260,319
859,739,275,10
3373,1997,481,1630
4931,1335,4594,3531
4241,2792,2499,958
3607,2160,2257,2998
1019,53,669,449
467,348,431,295
131,102,34,27
3557,445,225,2453
3373,1142,331,1162
4051,1056,2821,1419
1553,1144,438,184
2213,1339,509,716
1193,439,44,727
4259,2488,3577,3722
3863,2761,3362,493
4451,1118,451,2523
4799,4673,1364,1255
3271,2463,2239,2413
367,267,117,31
4339,3358,867,546
1171,461,1009,262
2069,1286,676,1846
4729,1061,844,4532
3989,711,1399,290
2879,2282,1574,2201
4243,3757,3566,1071
1747,564,1227,1296
3343,1773,2218,2326
3019,1816,1125,1936
2917,554,2686,2423
821,529,89,815
4493,178,1156,2530
3359,2142,657,1257
2393,2120,1079,1565
1709,1420,1272,618
1663,898,257,770
3719,411,2630,661
953,703,345,613
1249,975,836,971
1129,986,638,20
421,58,377,182
2731,411,1973,164
839,199,418,425
1543,74,958,853
1459,201,1188,699
3533,3294,1997,1460
4339,1953,1159,1315
4099,1258,3418,2283
3943,3682,1608,2845
599,280,304,56
2677,115,310,2055
659,567,49,8
3163,2745,2982,1554
3697,2742,1185,840
2851,1795,1614,2610
4133,1601,3598,570
433,291,122,162
4447,2156,1755,3606
4817,919,503,4253
4159,770,2342,2427
239,3,16,45
857,659,376,598
2309,1308,1887,2155
1163,1034,268,895
3931,428,208,580
4957,1536,403,2594
