52057,45457,43344,1037
12611,4185,678,10393
53507,25220,18106,18556
72307,18235,32838,12338
54877,53515,43498,12901
87793,37405,66323,63435
98297,61314,53261,37502
57271,37597,7981,46027
74887,15738,23531,48678
91493,13742,62425,50949
17053,1112,3231,3267
73309,21726,44246,207
88807,45242,76736,15366
51683,42310,10055,1306
71993,9817,31200,45356
30727,14323,11230,13591
61613,38660,503,61400
65563,22622,33108,42644
40039,221,33028,10536
83137,58616,49683,67881
41659,25003,16258,2432
49477,5813,45084,3148
44351,631,1987,18316
28201,13154,26654,26187
44269,11934,4493,18579
29033,25302,12555,8130
17483,11613,6236,10872
86629,80092,78720,50616
32621,7486,15511,29057
78283,14523,13555,70845
17401,15241,16987,8638
87589,78974,58199,24144
90511,64403,45684,7255
24977,20809,20802,3033
87251,44611,982,12618
47563,1169,44363,18752
56701,2678,2386,23622
23399,17875,4653,7905
13147,2814,7643,6173
73523,71149,16288,9653
31817,29675,24629,31358
42019,40379,17383,11108
49031,30065,18341,7274
25579,325,17210,3396
20023,2692,5366,5158
53819,33825,45160,37755
44189,40007,6898,9674
66103,43097,9779,33407
47981,3247,38705,30723
71663,39103,66314,50204
29501,9394,19170,11478
21613,14824,9834,11749
81001,54253,75086,49787
54577,16591,44192,38253
44579,42711,5343,6053
43777,12589,35330,14974
23603,4098,4744,207
39229,27338,4319,26768
30841,12638,10535,23023
25153,18233,2947,9067
52291,1290,11375,31158
74623,845,12575,74255
96329,54565,31859,4148
73771,39529,54168,42642
18379,8737,2652,16049
75193,2810,56810,44966
43969,18643,40335,15220
46901,2530,31578,19715
32213,6478,2867,27620
45439,14129,3195,7819
51329,48347,39853,21554
37493,13926,27870,30935
55333,53341,52657,14171
52379,14865,25960,10285
65651,16415,8601,43978
60617,10258,28366,59376
15629,11203,927,11870
29959,4058,19954,4234
15013,1116,7695,8323
44701,36870,11894,44108
91951,37057,1675,3184
83399,14678,61134,62792
68683,22591,30777,50817
26921,16949,3221,14892
15797,13021,581,15719
32353,13858,31550,2743
48259,30944,31956,43096
45893,44888,14789,12496
87119,74733,16879,11870
67261,25394,60799,16216
51721,4515,39119,7557
24181,21184,2209,21231
51047,8752,47047,13857
82619,62834,44322,3592
65657,39617,34070,21476
12203,4689,6273,1137
54139,16480,7710,28667
66107,18115,13077,54902
26561,5100,17650,24282
65203,59818,33543,4247
78893,33755,67731,14420
25799,8558,14980,580
18457,8748,9265,10283
88093,56689,8604,26591
26513,894,10934,7078
77419,24852,16851,45485
10733,7454,2811,7490
22853,9457,15781,8320
91921,38828,29013,68197
20693,9778,4243,10550
34303,14540,33817,20047
80929,2513,5978,10394
58907,5999,6042,34807
37313,21722,3168,11640
50753,14994,42086,42747
76423,40155,67655,5973
11909,7566,3827,7853
87671,46669,44775,17863
41149,20548,29082,31172
13103,4278,6533,5213
57899,16576,37946,48890
80429,67820,3432,36510
38569,21659,31630,27574
90917,90113,25047,49689
38783,16236,30652,32517
44657,40155,16459,29641
41801,7551,8730,39212
41467,26192,38731,20665
59023,2039,9077,22022
42901,9536,42792,22223
28463,25995,17637,18971
46279,11431,17608,12172
11789,5649,9759,3794
44389,34650,21933,22273
89381,58645,57477,49867
40591,35298,25311,9565
21503,17156,19747,144
44909,19248,44148,4065
52859,16129,44921,35573
29231,8890,9435,12882
80567,32647,2635,25381
24733,12629,184,20354
61861,45332,979,58001
53309,39377,49353,26503
55697,16569,23348,14040
46523,2925,12304,15849
21211,1420,15481,17094
14879,13049,14067,13593
50021,1193,32785,8833
55663,20452,33612,49075
52883,11214,10342,11869
42463,9499,41608,35519
72823,24841,48743,28388
77983,10447,15627,57191
94513,76314,5547,72527
46601,15076,29255,2789
28871,8760,25959,8028
73583,19925,14525,49810
58549,3367,39646,43735
23813,3935,11076,3117
19583,8687,3770,11283
11161,6676,9161,8741
25111,17751,24145,24764
27283,9227,17272,15951
47543,25560,7404,46231
27701,26651,8415,21506
84859,83010,36643,68731
83737,81018,57365,64484
36787,7664,33906,21283
95801,74421,80164,31668
90547,29664,62706,27760
34747,23045,1542,11720
80473,44544,52840,34606
26083,23922,6571,7592
45677,2312,733,20059
37717,9274,18486,22063
99139,43144,4743,16226
89657,435,21837,21749
54163,37896,53785,21838
22501,5153,14768,4864
67187,58545,18304,64846
19603,2983,3650,11441
68071,9958,64598,16387
28687,20153,20516,21208
41999,33916,24743,15761
64817,26409,48720,47284
62981,7186,24107,23042
84211,22742,67284,21198
44741,27834,10655,39231
33623,20936,1530,14401
53917,22396,36380,11778
72617,58895,53557,308
60649,8879,31344,30394
31649,20830,28155,26599
93371,35449,34434,80044
45053,33894,31799,7240
42331,22988,12241,41837
11551,1994,8382,2416
76123,65557,40776,45010
23269,10927,2208,12218
10733,3410,4390,8337
32029,17171,6248,1933
78569,67207,3012,58063
15137,12848,12506,3346
36587,35067,10779,25667
58043,49764,20064,47751
31123,26213,30881,23124
73673,44351,73347,26783
99023,93678,16532,25997
20269,330,2550,15739
65407,19983,28934,52
89533,40335,81319,72873
61837,41694,39863,30983
23357,20131,22305,4179
92387,42910,29003,53783
17627,11887,681,12676
94007,63658,10046,66880
35597,16234,16187,26381
17167,17057,10410,12488
18133,1903,10495,13094
27259,6317,132,5419
88657,82288,1034,62530
55721,43172,12453,9268
99139,57664,20472,21956
58031,27813,1779,56611
